index_name,table_name,column_names,unique_yn,index_method,where_condition,description
UX_TB_RES_MST_01,TB_RES_MST,TASK_TGT_ID,Y,,,하나의 업무대상에 최대 하나의 인력 연결 보장
IX_TB_RES_MST_01,TB_RES_MST,RES_SE_CD|FULL_NM,N,,DEL_YN = 'N',인력구분 및 성명 기준 활성 인력 조회
IX_TB_RES_MST_02,TB_RES_MST,MOBILE_NO,N,,DEL_YN = 'N' AND MOBILE_NO IS NOT NULL,휴대전화번호 기준 활성 인력 조회
UX_TB_RES_EMPLOYEE_01,TB_RES_EMPLOYEE,EMP_NO,Y,,,삭제 여부와 관계없는 사원번호 고유성 보장
IX_TB_RES_EMPLOYEE_01,TB_RES_EMPLOYEE,ORG_ID|EMPLOY_STATUS_CD,N,,DEL_YN = 'N',조직 및 재직상태별 직원 조회
IX_TB_RES_EMPLOYEE_02,TB_RES_EMPLOYEE,HIRE_DT,N,,DEL_YN = 'N' AND HIRE_DT IS NOT NULL,입사일자별 직원 조회
IX_TB_RES_OUTSRC_01,TB_RES_OUTSRC,PARTNER_VENDOR_ID|RES_ID,N,,DEL_YN = 'N',협력업체별 외주인력 조회
UX_TB_RES_PARTNER_VENDOR_01,TB_RES_PARTNER_VENDOR,BIZ_REG_NO,Y,,BIZ_REG_NO IS NOT NULL,삭제 여부와 관계없는 사업자등록번호 고유성 보장
IX_TB_RES_PARTNER_VENDOR_01,TB_RES_PARTNER_VENDOR,VENDOR_NM,N,,DEL_YN = 'N',협력업체명 검색
IX_TB_RES_WORK_CAREER_01,TB_RES_WORK_CAREER,RES_ID|WORK_START_DT,N,,DEL_YN = 'N',인력별 이력 일자순 조회
IX_TB_RES_ACAD_01,TB_RES_ACAD,RES_ID|STUDY_START_DT,N,,DEL_YN = 'N',인력별 이력 일자순 조회
IX_TB_RES_EDU_01,TB_RES_EDU,RES_ID|EDU_START_DT,N,,DEL_YN = 'N',인력별 이력 일자순 조회
IX_TB_RES_AWARD_01,TB_RES_AWARD,RES_ID|CNFR_DT,N,,DEL_YN = 'N',인력별 이력 일자순 조회
IX_TB_RES_SKILL_QUAL_01,TB_RES_SKILL_QUAL,RES_ID|ACQ_DT,N,,DEL_YN = 'N',인력별 이력 일자순 조회
IX_TB_RES_SKILL_CAREER_01,TB_RES_SKILL_CAREER,RES_ID|PART_START_DT,N,,DEL_YN = 'N',인력별 이력 일자순 조회
UX_TB_RES_UNIT_AMT_01,TB_RES_UNIT_AMT,RES_ID|BASE_YM,Y,,DEL_YN = 'N',인력별 기준연월 활성 단가 중복 방지
IX_TB_RES_UNIT_AMT_01,TB_RES_UNIT_AMT,BASE_YM|RES_ID,N,,DEL_YN = 'N',기준연월별 인력단가 조회
IX_TB_RES_ASSIGN_01,TB_RES_ASSIGN,PRJ_ID|ASSIGN_START_DT|ASSIGN_END_DT,N,,DEL_YN = 'N',프로젝트별 활성 투입인력 조회
IX_TB_RES_ASSIGN_02,TB_RES_ASSIGN,RES_ID|ASSIGN_START_DT|ASSIGN_END_DT,N,,DEL_YN = 'N',인력별 투입기간 및 가용현황 조회
UX_TB_RES_MTHLY_ASSIGN_ACTL_01,TB_RES_MTHLY_ASSIGN_ACTL,RES_ASSIGN_ID|BASE_YM,Y,,DEL_YN = 'N',인력투입별 기준연월 활성 계획·실적 중복 방지
IX_TB_RES_MTHLY_ASSIGN_ACTL_01,TB_RES_MTHLY_ASSIGN_ACTL,BASE_YM|ACTL_CNFM_YN,N,,DEL_YN = 'N',기준연월 및 확정여부별 투입실적 조회
