api_id,api_name,domain,method,path,operation_id,function_ids,screen_ids,permission_code,csrf_required_yn,reauthentication_required_yn,request_schema,response_schema,error_codes,feature_package_id,design_status,implementation_status
API-COM-AUTH-001,로그인,common,POST,/auth/login,commonLogin,BFD-02-05-01-01,COM-001,PUBLIC,Y,N,LoginRequest,CurrentUserResponse,COMMON_VALIDATION_FAILED;AUTH_LOGIN_FAILED;AUTH_CSRF_INVALID;AUTH_TOO_MANY_ATTEMPTS;COMMON_INTERNAL_ERROR,FPK-COM-AUTH-001,READY,IMPLEMENTED
API-COM-AUTH-002,로그아웃,common,POST,/auth/logout,commonLogout,BFD-02-05-01-02,COM-001;SYS-009,AUTHENTICATED_OR_LIMITED,Y,N,,NoContent,AUTH_AUTHENTICATION_REQUIRED;AUTH_CSRF_INVALID;COMMON_INTERNAL_ERROR,FPK-COM-AUTH-001,READY,IMPLEMENTED
API-COM-AUTH-003,현재 사용자 조회,common,GET,/auth/me,commonGetCurrentUser,BFD-02-05-01-03,COM-001;SYS-009,AUTHENTICATED_OR_LIMITED,N,N,,CurrentUserResponse,AUTH_AUTHENTICATION_REQUIRED;COMMON_INTERNAL_ERROR,FPK-COM-AUTH-001,READY,IMPLEMENTED
API-COM-AUTH-004,사용자 활동 갱신,common,POST,/auth/activity,commonRefreshActivity,BFD-02-05-01-03,SYS-009,AUTHENTICATED_OR_LIMITED,Y,N,,NoContent,AUTH_AUTHENTICATION_REQUIRED;AUTH_CSRF_INVALID;COMMON_INTERNAL_ERROR,FPK-COM-AUTH-001,READY,IMPLEMENTED
API-COM-AUTH-005,CSRF 토큰 조회,common,GET,/auth/csrf,commonGetCsrfToken,BFD-02-05-01-01,COM-001;SYS-009,PUBLIC,N,N,,CsrfTokenResponse,COMMON_INTERNAL_ERROR,FPK-COM-AUTH-001,READY,IMPLEMENTED
API-COM-AUTH-006,중요 작업 재인증,common,POST,/auth/reauthenticate,commonReauthenticate,BFD-02-05-01-01,COM-001,AUTHENTICATED,Y,N,ReauthenticateRequest,NoContent,COMMON_VALIDATION_FAILED;AUTH_AUTHENTICATION_REQUIRED;AUTH_REAUTHENTICATION_FAILED;AUTH_CSRF_INVALID;AUTH_PASSWORD_CHANGE_REQUIRED;AUTH_TOO_MANY_ATTEMPTS;COMMON_INTERNAL_ERROR,FPK-COM-AUTH-001,READY,IMPLEMENTED
API-SYS-USER-001,사용자 목록 조회,system,GET,/users,systemSearchUsers,BFD-01-01-01-01,SYS-001,SYS-001,N,N,,UserSearchResponse,COMMON_VALIDATION_FAILED;AUTH_AUTHENTICATION_REQUIRED;AUTH_FORBIDDEN;AUTH_PASSWORD_CHANGE_REQUIRED;COMMON_INTERNAL_ERROR,FPK-SYS-USER-001,DESIGN_IN_PROGRESS,NOT_STARTED
API-SYS-USER-002,내부 직원과 사용자 등록,system,POST,/users,systemCreateUser,BFD-01-01-01-02;BFD-07-01-01-03;BFD-07-01-02-02,SYS-001,SYS-001,Y,N,CreateUserRequest,CreateUserResponse,COMMON_VALIDATION_FAILED;AUTH_AUTHENTICATION_REQUIRED;AUTH_FORBIDDEN;AUTH_CSRF_INVALID;AUTH_PASSWORD_CHANGE_REQUIRED;COMMON_RESOURCE_NOT_FOUND;SYS_LOGIN_ID_DUPLICATE;RES_EMPLOYEE_NUMBER_DUPLICATE;COMMON_INVALID_STATE;COMMON_INTERNAL_ERROR,FPK-SYS-USER-001,DESIGN_IN_PROGRESS,NOT_STARTED
API-SYS-USER-003,사용자 등록 옵션 조회,system,GET,/users/registration-options,systemGetUserRegistrationOptions,BFD-01-01-01-02,SYS-001,SYS-001,N,N,,UserRegistrationOptionsResponse,AUTH_AUTHENTICATION_REQUIRED;AUTH_FORBIDDEN;AUTH_PASSWORD_CHANGE_REQUIRED;COMMON_INTERNAL_ERROR,FPK-SYS-USER-001,DESIGN_IN_PROGRESS,NOT_STARTED
API-SYS-USER-004,최초 등록 및 초기 비밀번호 변경,system,POST,/users/me/initial-registration,systemCompleteInitialRegistration,BFD-01-01-02-02,SYS-009,AUTHENTICATED_OR_LIMITED,Y,N,InitialRegistrationRequest,NoContent,COMMON_VALIDATION_FAILED;AUTH_AUTHENTICATION_REQUIRED;AUTH_CSRF_INVALID;COMMON_INVALID_STATE;COMMON_INTERNAL_ERROR,FPK-SYS-USER-001,READY,IMPLEMENTED
